id,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,rooms,squareFootage,lotSize,yearBuilt,lastSaleDate,lastSaleAmount,priorSaleDate,priorSaleAmount,estimated_value
219388943,333 Milwaukee St,Denver,CO,80206,39.721639,-104.952569,3,6,7,4627,14061,2014,11/23/2016,7000000,10/21/2016,0,7317046
251009284,3499 Ash St,Denver,CO,80207,39.76506,-104.938104,3,4,6,1842,6000,2014,5/6/2016,475000,2/10/2016,450000,552306
251007437,1565 Vrain St,Denver,CO,80204,39.74161,-105.0467,3,4,6,1750,3125,2014,8/29/2016,599900,10/13/2015,540000,642714
250971168,3085 Arapahoe St,Denver,CO,80205,39.761822,-104.977811,3,3,7,1981,3123,2014,4/4/2017,760000,11/26/2014,647824,764363
240307108,3075 Arapahoe St,Denver,CO,80205,39.761449,-104.978161,3,4,7,2032,3123,2014,1/9/2015,660000,11/18/2014,616279,764319
221097015,3055 Arapahoe St,Denver,CO,80205,39.761531,-104.978179,3,4,7,2032,3123,2014,11/23/2016,730000,10/27/2014,613176,788867
240378504,2842 Dexter St,Denver,CO,80207,39.757669,-104.932782,3,4,7,2432,5950,2014,2/11/2016,852500,8/6/2014,190000,862450
141855645,725 Adams St,Denver,CO,80206,39.727852,-104.948719,3,5,7,3204,5950,2014,7/7/2015,1525000,2/25/2014,375000,1813788
184304567,273 S Monroe St,Denver,CO,80209,39.71167,-104.94531,3,5,7,3693,6250,2014,10/7/2016,1745000,2/11/2014,350000,1847778
24834608,1051 S Adams St,Denver,CO,80209,39.697408,-104.949176,3,5,10,3405,6250,2014,2/9/2016,1495000,8/27/2013,506000,1699509
19216239,1057 S Monroe St,Denver,CO,80209,39.697277,-104.945696,4,5,10,3414,6250,2014,10/14/2014,1218428,8/2/2013,315000,1600813
39708952,611 S Washington St,Denver,CO,80209,39.705403,-104.97958,3,4,10,2090,4690,2014,3/9/2015,825000,7/19/2013,325500,994114
184311639,621 S Clarkson St,Denver,CO,80209,39.705218,-104.978416,3,5,10,3174,6250,2014,6/21/2013,375000,5/31/2013,325000,1399125
184295213,3413 N Gilpin St,Denver,CO,80205,39.764873,-104.96752,3,3,6,2168,4726,2014,11/21/2014,439000,5/7/2013,78500,609347
43235361,383 S Race St,Denver,CO,80209,39.709597,-104.964325,3,4,10,3159,6240,2014,6/6/2013,660000,4/26/2013,0,1946859
39823777,3644 N Williams St,Denver,CO,80205,39.76783,-104.965559,3,3,6,1746,3120,2014,7/27/2015,485000,1/31/2013,24000,535182
151343239,3206 W 8th Ave,Denver,CO,80204,39.729071,-105.029125,3,3,10,1989,5870,2014,1/26/2011,48310,11/4/2010,0,349319
15856746,731 Quitman St,Denver,CO,80204,39.728858,-105.04087,2,2,6,1186,3140,2014,10/30/2015,249298,8/12/2010,24000,360544
49467113,539 S Gilpin St,Denver,CO,80209,39.70666,-104.96767,4,5,11,4162,10100,2014,6/26/2012,725000,3/26/2010,0,2371927
28602708,2820 California St,Denver,CO,80205,39.757111,-104.976726,1,3,4,1235,4740,2014,7/13/2015,515000,12/27/2007,461000,743498
30596501,401 Jackson St,Denver,CO,80206,39.72277,-104.94289,4,6,10,9394,12500,2014,4/27/2012,1000000,9/12/2007,4900000,4520364
30416279,3044 Stout St,Denver,CO,80205,39.75935,-104.97512,3,3,6,2200,3125,2014,11/13/2014,595000,8/15/2007,325000,757948
30414126,748 Fox St,Denver,CO,80204,39.728302,-104.994892,2,3,5,1768,3125,2014,12/27/2013,120000,3/21/2006,51500,539280
43144676,917 S Williams St,Denver,CO,80209,39.699799,-104.966703,2,5,10,3406,6670,2014,11/20/2013,670000,10/28/2003,337000,1933344
28612952,645 S Race St,Denver,CO,80209,39.704795,-104.964343,3,4,9,2336,4680,2014,8/4/2008,434900,3/24/2003,338900,1540075
184304466,401 S Gaylord St,Denver,CO,80209,39.70913,-104.9619,3,7,10,4172,9360,2014,10/31/2013,768500,8/22/1997,84000,2100796
43106673,2520 Stout St,Denver,CO,80205,39.754546,-104.981644,3,4,7,2306,3132,2014,4/23/2015,626860,7/1/1991,5000,744673
184312864,926 S Gilpin St,Denver,CO,80209,39.699655,-104.967227,3,5,10,3156,6620,2014,12/27/2013,570000,6/21/1991,90000,1901187
17582820,2350 Magnolia St,Denver,CO,80207,39.751774,-104.911295,2,3,7,1253,6500,1948,4/27/2017,430000,,45500,432011
184309709,501 S Harrison Ln,Denver,CO,80209,39.706824,-104.945151,4,3,10,3434,19507,1965,4/24/2017,1062000,,348600,1594859
184294503,2621 Ash St,Denver,CO,80207,39.755147,-104.938641,2,1,5,1214,5950,1925,4/18/2017,525000,,23000,583432
219388956,401 S Garfield St # 11,Denver,CO,80209,39.70913,-104.946625,1,1,3,1061,12230,2015,4/12/2017,7800000,,,1534663
184784578,29 Polo Club Cir,Denver,CO,80209,39.705523,-104.951033,6,8,11,5465,21780,1965,3/29/2017,1800000,,739700,1944878
184295845,3830 W 17th Ave,Denver,CO,80204,39.74367,-105.03779,4,3,8,1752,15600,1943,3/28/2017,1750000,,,1775942
17037139,239 S Grant St,Denver,CO,80209,39.712225,-104.984346,2,1,5,1343,4462,1910,3/20/2017,450000,,67300,459374
184188991,528 Saint Paul St,Denver,CO,80206,39.724706,-104.95065,2,1,5,850,6250,1925,3/17/2017,2500000,,105100,1016952
184188989,538 Saint Paul St,Denver,CO,80206,39.724912,-104.950649,4,2,10,2200,4160,1905,3/17/2017,2500000,,127300,862365
184293379,3538 E 17th Ave,Denver,CO,80206,39.74376,-104.945607,4,5,13,3141,4500,1904,3/17/2017,800000,,120000,1022774
184294583,2395 Locust St,Denver,CO,80207,39.752677,-104.914333,2,2,5,1164,8120,1942,3/16/2017,535000,,117200,526422
184741668,2644 Grape St,Denver,CO,80207,39.75559,-104.924302,2,1,4,1038,6250,1923,3/14/2017,310000,,38900,394576
7323807,1724 Irving St,Denver,CO,80204,39.74456,-105.029543,3,2,7,1525,6410,1920,3/14/2017,585000,,74200,1050333
24833172,3839 E 26th Avenue Pkwy,Denver,CO,80205,39.754742,-104.941959,3,3,7,2303,11200,1952,3/7/2017,507000,,124200,642265
52811360,2515 Pontiac St,Denver,CO,80207,39.753824,-104.906128,2,1,4,1042,6100,1948,2/28/2017,272500,,39400,274443
219392279,2209 Cherry St,Denver,CO,80207,39.749561,-104.934307,2,1,5,1162,3245,1895,2/27/2017,375000,,,384115
184192294,2316 N Williams St,Denver,CO,80205,39.751126,-104.965592,3,1,6,1396,3140,1905,2/17/2017,352000,,48800,465553
184307631,590 S Franklin St,Denver,CO,80209,39.706578,-104.968688,5,5,10,3658,4145,1955,2/15/2017,1525000,,48000,1568850
144711171,2985 Elm St,Denver,CO,80207,39.759894,-104.929714,2,2,4,889,6250,1949,2/13/2017,255000,,50900,344517
184746803,378 S Gaylord St,Denver,CO,80209,39.70973,-104.961387,2,2,5,1536,9366,1937,2/10/2017,800000,,168800,855000
184307636,650 S Ogden St,Denver,CO,80209,39.704712,-104.975424,4,5,11,3601,6350,2013,4/28/2017,1620000,3/31/2015,1453764,1727661
54813347,532 Cook St,Denver,CO,80206,39.724829,-104.947037,3,7,8,4772,6250,2013,4/4/2017,2750000,12/23/2014,2400000,3226332
184790365,718 S Corona St,Denver,CO,80209,39.703434,-104.974266,4,5,10,3074,6340,2013,10/14/2014,1475000,4/15/2014,1395000,1938739
219388903,2230 N Washington St,Denver,CO,80205,39.75017,-104.977821,3,3,8,2038,3124,2013,12/17/2014,449655,4/1/2014,518000,745441
51270732,750 S Race St,Denver,CO,80209,39.702874,-104.963715,4,5,10,3379,6240,2013,12/26/2014,1550000,12/17/2013,595000,2056148
30416500,3048 Stout St,Denver,CO,80205,39.75953,-104.97516,2,3,8,2000,3120,2013,10/30/2015,635000,12/12/2013,527500,714936
221205970,470 Tennyson St,Denver,CO,80204,39.724002,-105.043953,3,2,8,1296,6978,2013,3/2/2015,319000,8/15/2013,33000,375865
49335218,627 S Williams St,Denver,CO,80209,39.705106,-104.966657,4,5,10,2912,4680,2013,7/16/2014,1300000,8/15/2013,495000,1801326
204023989,3115 N Race St,Denver,CO,80205,39.761375,-104.963461,3,3,8,1994,6130,2013,2/26/2014,505000,6/12/2013,100000,634698
184778951,768 Cook St,Denver,CO,80206,39.728603,-104.94698,4,6,8,3062,5950,2013,7/9/2014,1250000,5/21/2013,407635,1526903
21870071,1124 Elizabeth St,Denver,CO,80206,39.734265,-104.95596,4,4,8,2250,4600,2013,1/22/2014,601800,5/8/2013,110000,884321
184312871,1050 S Gilpin St,Denver,CO,80209,39.69743,-104.967207,3,4,10,3104,6250,2013,8/19/2013,650000,5/6/2013,570000,1962590
379699,2046 Ivanhoe St,Denver,CO,80207,39.748405,-104.920768,3,4,6,3042,6250,2013,5/13/2014,1190000,2/28/2013,350000,1624058
51050075,2244 Holly St,Denver,CO,80207,39.750057,-104.921949,3,4,7,2869,6250,2013,11/29/2013,975000,12/5/2012,325600,1389303
10891976,2369 N Glencoe St,Denver,CO,80207,39.752413,-104.926099,3,4,7,2847,6250,2013,10/13/2014,1110000,11/26/2012,255000,1330727
184304421,396 Detroit St,Denver,CO,80206,39.722381,-104.954275,2,6,8,4345,6250,2013,8/1/2011,650000,5/12/2011,0,3162816
184311483,784 S Race St,Denver,CO,80209,39.702325,-104.963714,3,5,9,3390,6240,2013,6/8/2011,481000,10/28/2009,0,1878093
28612287,2253 N Race St,Denver,CO,80205,39.750512,-104.963802,3,4,10,3348,6540,2013,9/28/2012,155000,5/9/2008,180000,887905
30494408,1077 S Gilpin St,Denver,CO,80209,39.697017,-104.967852,4,5,10,3413,6300,2013,7/5/2011,555000,7/14/2006,534000,1885238
43121330,2525 Holly St,Denver,CO,80207,39.753489,-104.922629,3,4,5,2620,7810,2013,10/22/2012,220000,12/5/2003,197280,718404
42991631,3050 Ohm Way,Denver,CO,80209,39.702662,-104.951614,4,7,10,4625,10700,2013,3/21/2013,677200,10/31/2003,480000,2435752
184741671,2605 Holly St,Denver,CO,80207,39.754906,-104.922615,2,2,5,1050,6250,1930,2/3/2017,399995,,,558795
184689979,947 Federal Blvd,Denver,CO,80204,39.732106,-105.025536,2,2,6,5139,12500,1985,2/2/2017,750000,,225000,758084
184292174,901 Steele St,Denver,CO,80206,39.730691,-104.949801,4,4,9,2612,5700,1918,2/1/2017,323000,,136800,773726
3826770,2857 N Gaylord St,Denver,CO,80205,39.758061,-104.961346,3,2,5,1205,6260,1910,1/10/2017,435000,,50300,457716
184312823,876 S Race St,Denver,CO,80209,39.700634,-104.963707,3,3,7,2132,4680,1926,1/5/2017,729500,,189900,775126
184300174,1256 Lipan St,Denver,CO,80204,39.736359,-105.001208,2,1,5,1239,3750,1898,1/4/2017,245000,,36900,290174
184309829,816 S Medea Way,Denver,CO,80209,39.701551,-104.951923,3,2,6,1608,10300,1932,12/27/2016,1000000,,175200,994279
184784457,2915 Ivy St,Denver,CO,80207,39.758692,-104.920257,3,2,6,1494,7630,1946,12/19/2016,378000,,45000,402459
184310478,2627 E 7th Avenue Pkwy,Denver,CO,80206,39.727605,-104.955869,4,4,8,4392,15600,1919,12/1/2016,2450000,,400000,2560065
